When it happens.	Kung magkagayon.
He was trapped inside his own room.	Siya ay nakulong sa kanyang sariling kwarto.
He was walking slowly down the street.	Dahan-dahan siyang naglalakad sa kalye.
He was walking with a stick in his hand.	Naglalakad siya nang may hawak na stick.
He was watching TV when I got home.	Siya ay nanonood ng TV nang ako ay makauwi.
He wasn't at home when I called on him.	Wala siya sa bahay nang tinawagan ko siya.
He wasn't long in making up his mind.	Hindi siya nagtagal para makapagdesisyon.
He watches television before studying.	Nagkiskis siya ng posporo't pinasindi niya ang mga kandila.
He weighs 10 kilograms more than I do.	Mas mabigat siya sa akin ng sampung kilo.
He weighs 10 kilograms more than I do.	Mas mabigat ang timbang niya sa akin ng sampung kilo.
He went to Africa to see wild animals.	Pumunta siya ng Africa para makakita ng mga hayop.
He went to China to consult a doctor.	Pumunta siyang Tsina para magpagamot sa isang doktor.
He went to Egypt to consult a doctor.	Pumunta siyang Ehipto para magpagamot sa isang doktor.
He went to England to consult a doctor.	Pumunta siyang Inglatera para magpagamot sa isang doktor.
He went to France to consult a doctor.	Pumunta siyang Pransiya para magpagamot sa isang doktor.
He went to Germany to consult a doctor.	Pumunta siyang Alemanya para magpagamot sa isang doktor.
He went to Greece to consult a doctor.	Pumunta siyang Gresya para magpagamot sa isang doktor.
He went to Italy to consult a doctor.	Pumunta siyang Italya para magpagamot sa isang doktor.
He went to Japan to consult a doctor.	Pumunta siyang Hapon para magpagamot sa isang doktor.
He went to Manila to consult a doctor.	Pumunta siyang Maynila para magpagamot sa isang doktor.
He went to Osaka on official business.	Pumunta siya sa Osaka para sa opisyal na tungkulin.
He went to Spain to consult a doctor.	Pumunta siyang Espanya para magpagamot sa isang doktor.
He went to the canteen to buy foods.	Pumunta siya kanina sa canteen upang bumili ng pagkain.
He went to the library to gather data.	Pumunta siya sa silid-aklatan para kumalap ng datos.
He went to the library to gather data.	Pumunta siya sa silid-aklatan upang kumalap ng datos.
He went to the library to study.	Pumunta siya sa silid-aklatan upang mag-aral.
He who touched our hearts and vanished.	Siyang humaplos ng aming puso at biglang naglaho.
He will be sent away by the teacher from class.	Papaalisin siya ng guro sa klase.
He will consult a doctor in Egypt.	Magpapagamot siya sa isang doktor sa Ehipto.
He will consult a doctor in England.	Magpapagamot siya sa isang doktor sa Inglatera.
He will consult a doctor in France.	Magpapagamot siya sa isang doktor sa Pransiya.
He will consult a doctor in Germany.	Magpapagamot siya sa isang doktor sa Alemanya.
He will consult a doctor in Greece.	Magpapagamot siya sa isang doktor sa Gresya.
He will consult a doctor in Italy.	Magpapagamot siya sa isang doktor sa Italya.
He will consult a doctor in Manila.	Magpapagamot siya sa isang doktor sa Maynila.
He will consult a doctor in Spain.	Magpapagamot siya sa isang doktor sa Espanya.
He will eat apple for faster recovery.	Kakain siya ng mansanas para mabilis na gumaling.
He will eat apple to avoid sickness.	Kakain siya ng mansanas para makaiwas sa sakit.
He will eat apple to have beautiful skin.	Kakain siya ng mansanas para gumanda ang kanyang balat.
He will eat banana for faster recovery.	Kakain siya ng saging para mabilis na gumaling.
He will eat banana to avoid sickness.	Kakain siya ng saging para makaiwas sa sakit.
He will eat banana to have beautiful skin.	Kakain siya ng saging para gumanda ang kanyang balat.
He will eat cabbage for faster recovery.	Kakain siya ng repolyo para mabilis na gumaling.
He will eat cabbage to avoid sickness.	Kakain siya ng repolyo para makaiwas sa sakit.
He will eat cabbage to have beautiful skin.	Kakain siya ng repolyo para gumanda ang kanyang balat.
He will eat cucumber for faster recovery.	Kakain siya ng pipino para mabilis na gumaling.
He will eat cucumber to avoid sickness.	Kakain siya ng pipino para makaiwas sa sakit.
He will eat cucumber to have beautiful skin.	Kakain siya ng pipino para gumanda ang kanyang balat.
He will eat eggplant for faster recovery.	Kakain siya ng talong para mabilis na gumaling.
He will eat eggplant to avoid sickness.	Kakain siya ng talong para makaiwas sa sakit.
He will eat eggplant to have beautiful skin.	Kakain siya ng talong para gumanda ang kanyang balat.
He will eat garlic for faster recovery.	Kakain siya ng bawang para mabilis na gumaling.
He will eat garlic to avoid sickness.	Kakain siya ng bawang para makaiwas sa sakit.
He will eat garlic to have beautiful skin.	Kakain siya ng bawang para gumanda ang kanyang balat.
He will eat grape for faster recovery.	Kakain siya ng ubas para mabilis na gumaling.
He will eat grape to avoid sickness.	Kakain siya ng ubas para makaiwas sa sakit.
He will eat grape to have beautiful skin.	Kakain siya ng ubas para gumanda ang kanyang balat.
He will eat grape to strengthen his bones.	Kakain siya ng ubas para tumibay ang kanyang mga buto.
He will eat guava for faster recovery.	Kakain siya ng bayabas para mabilis na gumaling.
He will eat guava to avoid sickness.	Kakain siya ng bayabas para makaiwas sa sakit.
He will eat guava to have beautiful skin.	Kakain siya ng bayabas para gumanda ang kanyang balat.
He will eat jackfruit for faster recovery.	Kakain siya ng langka para mabilis na gumaling.
He will eat jackfruit to avoid sickness.	Kakain siya ng langka para makaiwas sa sakit.
He will eat mango for faster recovery.	Kakain siya ng mangga para mabilis na gumaling.
He will eat mango to avoid sickness.	Kakain siya ng mangga para makaiwas sa sakit.
He will eat mango to have beautiful skin.	Kakain siya ng mangga para gumanda ang kanyang balat.
He will eat milk for faster recovery.	Kakain siya ng gatas para mabilis na gumaling.
He will eat milk to avoid sickness.	Kakain siya ng gatas para makaiwas sa sakit.
He will eat milk to have beautiful skin.	Kakain siya ng gatas para gumanda ang kanyang balat.
He will eat milk to strengthen his bones.	Kakain siya ng gatas para tumibay ang kanyang mga buto.
He will eat onion for faster recovery.	Kakain siya ng sibuyas para mabilis na gumaling.
He will eat onion to avoid sickness.	Kakain siya ng sibuyas para makaiwas sa sakit.
He will eat onion to have beautiful skin.	Kakain siya ng sibuyas para gumanda ang kanyang balat.
He will eat pineapple for faster recovery.	Kakain siya ng pinya para mabilis na gumaling.
He will eat pineapple to avoid sickness.	Kakain siya ng pinya para makaiwas sa sakit.
He will eat pineapple to have beautiful skin.	Kakain siya ng pinya para gumanda ang kanyang balat.
He will eat pomelo for faster recovery.	Kakain siya ng suha para mabilis na gumaling.
He will eat pomelo to avoid sickness.	Kakain siya ng suha para makaiwas sa sakit.
He will eat pomelo to have beautiful skin.	Kakain siya ng suha para gumanda ang kanyang balat.
He will eat pomelo to strengthen his bones.	Kakain siya ng suha para tumibay ang kanyang mga buto.
He will eat radish for faster recovery.	Kakain siya ng labanos para mabilis na gumaling.
He will eat radish to avoid sickness.	Kakain siya ng labanos para makaiwas sa sakit.
He will eat radish to have beautiful skin.	Kakain siya ng labanos para gumanda ang kanyang balat.
He will eat squash for faster recovery.	Kakain siya ng kalabasa para mabilis na gumaling.
He will eat squash to avoid sickness.	Kakain siya ng kalabasa para makaiwas sa sakit.
He will eat squash to have beautiful skin.	Kakain siya ng kalabasa para gumanda ang kanyang balat.
He will eat star apple for faster recovery.	Kakain siya ng kaimito para mabilis na gumaling.
He will eat star apple to avoid sickness.	Kakain siya ng kaimito para makaiwas sa sakit.
He will eat string bean for faster recovery.	Kakain siya ng sitaw para mabilis na gumaling.
He will eat string bean to avoid sickness.	Kakain siya ng sitaw para makaiwas sa sakit.
He will eat tamarind for faster recovery.	Kakain siya ng sampalok para mabilis na gumaling.
He will eat tamarind to avoid sickness.	Kakain siya ng sampalok para makaiwas sa sakit.
He will eat tomato for faster recovery.	Kakain siya ng kamatis para mabilis na gumaling.
He will eat tomato to avoid sickness.	Kakain siya ng kamatis para makaiwas sa sakit.
He will eat tomato to have beautiful skin.	Kakain siya ng kamatis para gumanda ang kanyang balat.
He will eat watermelon for faster recovery.	Kakain siya ng pakwan para mabilis na gumaling.
He will eat watermelon to avoid sickness.	Kakain siya ng pakwan para makaiwas sa sakit.
He will go here on December 11.	Pupunta siya dito sa ika-labing-isa ng Disyembre.
He will go here on December 12.	Pupunta siya dito sa ika-labindalawa ng Disyembre.
He will go here on December 13.	Pupunta siya dito sa ika-labintatlo ng Disyembre.
He will go here on December 14.	Pupunta siya dito sa ika-labing-apat ng Disyembre.
He will go here on December 15.	Pupunta siya dito sa ika-labinlima ng Disyembre.
He will go here on December 16.	Pupunta siya dito sa ika-labing-anim ng Disyembre.
He will go here on December 17.	Pupunta siya dito sa ika-labinpito ng Disyembre.
He will go here on December 18.	Pupunta siya dito sa ika-labinwalo ng Disyembre.
He will go here on December 19.	Pupunta siya dito sa ika-labingsiyam ng Disyembre.
He will go here on December 20.	Pupunta siya dito sa ika-dalawampu ng Disyembre.
He will go here on December 21.	Pupunta siya dito sa ika-dalawampu't isa ng Disyembre.
He will go here on December 22.	Pupunta siya dito sa ika-dalawampu't dalawa ng Disyembre.
He will go here on December 23.	Pupunta siya dito sa ika-dalawampu't tatlo ng Disyembre.
He will go here on December 24.	Pupunta siya dito sa ika-dalawampu't apat ng Disyembre.
He will go here on December 25.	Pupunta siya dito sa ika-dalawampu't lima ng Disyembre.
He will go here on December 26.	Pupunta siya dito sa ika-dalawampu't anim ng Disyembre.
He will go here on December 27.	Pupunta siya dito sa ika-dalawampu't pito ng Disyembre.
He will go here on December 28.	Pupunta siya dito sa ika-dalawampu't walo ng Disyembre.
He will go here on December 29.	Pupunta siya dito sa ika-dalawampu't siyam ng Disyembre.
He will go here on December 30.	Pupunta siya dito sa ika-tatlumpu ng Disyembre.
He will go here on November 11.	Pupunta siya dito sa ika-labing-isa ng Nobyembre.
He will go here on November 12.	Pupunta siya dito sa ika-labindalawa ng Nobyembre.
He will go here on November 13.	Pupunta siya dito sa ika-labintatlo ng Nobyembre.
He will go here on November 14.	Pupunta siya dito sa ika-labing-apat ng Nobyembre.
He will go here on November 15.	Pupunta siya dito sa ika-labinlima ng Nobyembre.
He will go here on November 16.	Pupunta siya dito sa ika-labing-anim ng Nobyembre.
He will go here on November 17.	Pupunta siya dito sa ika-labinpito ng Nobyembre.
He will go here on November 18.	Pupunta siya dito sa ika-labinwalo ng Nobyembre.
He will go here on November 19.	Pupunta siya dito sa ika-labingsiyam ng Nobyembre.
He will go here on November 20.	Pupunta siya dito sa ika-dalawampu ng Nobyembre.
He will go here on November 21.	Pupunta siya dito sa ika-dalawampu't isa ng Nobyembre.
He will go here on November 22.	Pupunta siya dito sa ika-dalawampu't dalawa ng Nobyembre.
He will go here on November 23.	Pupunta siya dito sa ika-dalawampu't tatlo ng Nobyembre.
He will go here on November 24.	Pupunta siya dito sa ika-dalawampu't apat ng Nobyembre.
He will go here on November 25.	Pupunta siya dito sa ika-dalawampu't lima ng Nobyembre.
He will go here on November 26.	Pupunta siya dito sa ika-dalawampu't anim ng Nobyembre.
He will go here on November 27.	Pupunta siya dito sa ika-dalawampu't pito ng Nobyembre.
He will go here on November 28.	Pupunta siya dito sa ika-dalawampu't walo ng Nobyembre.
He will go here on November 29.	Pupunta siya dito sa ika-dalawampu't siyam ng Nobyembre.
He will go here on November 30.	Pupunta siya dito sa ika-tatlumpu ng Nobyembre.
He will go here on October 11.	Pupunta siya dito sa ika-labing-isa ng Oktubre.
He will go here on October 12.	Pupunta siya dito sa ika-labindalawa ng Oktubre.
He will go here on October 13.	Pupunta siya dito sa ika-labintatlo ng Oktubre.
He will go here on October 14.	Pupunta siya dito sa ika-labing-apat ng Oktubre.
He will go here on October 16.	Pupunta siya dito sa ika-labing-anim ng Oktubre.
He will go here on October 19.	Pupunta siya dito sa ika-labingsiyam ng Oktubre.
He will go here on October 21.	Pupunta siya dito sa ika-dalawampu't isa ng Oktubre.
He will go here on October 22.	Pupunta siya dito sa ika-dalawampu't dalawa ng Oktubre.
He will go here on October 23.	Pupunta siya dito sa ika-dalawampu't tatlo ng Oktubre.
He will go here on October 24.	Pupunta siya dito sa ika-dalawampu't apat ng Oktubre.
He will go here on October 25.	Pupunta siya dito sa ika-dalawampu't lima ng Oktubre.
He will go here on October 26.	Pupunta siya dito sa ika-dalawampu't anim ng Oktubre.
He will go here on October 27.	Pupunta siya dito sa ika-dalawampu't pito ng Oktubre.
He will go here on October 28.	Pupunta siya dito sa ika-dalawampu't walo ng Oktubre.
He will go here on October 29.	Pupunta siya dito sa ika-dalawampu't siyam ng Oktubre.
He will go here on September 10.	Pupunta siya dito sa ika-sampu ng Septyembre.
He will go here on September 11.	Pupunta siya dito sa ika-labing-isa ng Septyembre.
He will go here on September 12.	Pupunta siya dito sa ika-labindalawa ng Septyembre.
He will go here on September 13.	Pupunta siya dito sa ika-labintatlo ng Septyembre.
He will go here on September 14.	Pupunta siya dito sa ika-labing-apat ng Septyembre.
He will go here on September 15.	Pupunta siya dito sa ika-labinlima ng Septyembre.
He will go here on September 16.	Pupunta siya dito sa ika-labing-anim ng Septyembre.
He will go here on September 17.	Pupunta siya dito sa ika-labinpito ng Septyembre.
He will go here on September 18.	Pupunta siya dito sa ika-labinwalo ng Septyembre.
He will go here on September 19.	Pupunta siya dito sa ika-labingsiyam ng Septyembre.
He will go here on September 2.	Pupunta siya dito sa ika-dalawa ng Septyembre.
He will go here on September 20.	Pupunta siya dito sa ika-dalawampu ng Septyembre.
He will go here on September 21.	Pupunta siya dito sa ika-dalawampu't isa ng Septyembre.
He will go here on September 22.	Pupunta siya dito sa ika-dalawampu't dalawa ng Septyembre.
He will go here on September 23.	Pupunta siya dito sa ika-dalawampu't tatlo ng Septyembre.
He will go here on September 24.	Pupunta siya dito sa ika-dalawampu't apat ng Septyembre.
He will go here on September 25.	Pupunta siya dito sa ika-dalawampu't lima ng Septyembre.
He will go here on September 26.	Pupunta siya dito sa ika-dalawampu't anim ng Septyembre.
He will go here on September 27.	Pupunta siya dito sa ika-dalawampu't pito ng Septyembre.
He will go here on September 28.	Pupunta siya dito sa ika-dalawampu't walo ng Septyembre.
He will go here on September 29.	Pupunta siya dito sa ika-dalawampu't siyam ng Septyembre.
He will go here on September 30.	Pupunta siya dito sa ika-tatlumpu ng Septyembre.
He will go to China to consult a doctor.	Pupunta siyang Tsina para magpagamot sa isang doktor.
He will go to Egypt to consult a doctor.	Pupunta siyang Ehipto para magpagamot sa isang doktor.
He will go to France to consult a doctor.	Pupunta siyang Pransiya para magpagamot sa isang doktor.
He will go to Greece to consult a doctor.	Pupunta siyang Gresya para magpagamot sa isang doktor.
He will go to Italy to consult a doctor.	Pupunta siyang Italya para magpagamot sa isang doktor.
He will go to Japan to consult a doctor.	Pupunta siyang Hapon para magpagamot sa isang doktor.
He will go to Manila to consult a doctor.	Pupunta siyang Maynila para magpagamot sa isang doktor.
He will go to Spain to consult a doctor.	Pupunta siyang Espanya para magpagamot sa isang doktor.
He will go to Tokyo tomorrow, won't he?	Pupunta siya ng Tokyo bukas, 'di ba?
He will make my sister a good husband.	Magiging mabuting asawa siya sa aking kapatid na babae.
He will meet with me in the library.	Makikipagkita siya sa akin sa silid-aklatan.
He will meet with me later in the library.	Makikipagkita siya sa akin mamaya sa silid-aklatan.
He will meet with me today in the library.	Makikipagkita siya sa akin ngayon sa silid-aklatan.
He will pass the upcoming examination.	Papasa siya sa papalapit na eksaminasyon.
He will sell his guitar on December 1.	Ibebenta niya ang kanyang gitara sa ika-isa ng Disyembre.
He will sell his guitar on December 3.	Ibebenta niya ang kanyang gitara sa ika-tatlo ng Disyembre.
He will sell his guitar on December 4.	Ibebenta niya ang kanyang gitara sa ika-apat ng Disyembre.
He will sell his guitar on December 5.	Ibebenta niya ang kanyang gitara sa ika-lima ng Disyembre.
He will sell his guitar on December 6.	Ibebenta niya ang kanyang gitara sa ika-anim ng Disyembre.
He will sell his guitar on December 7.	Ibebenta niya ang kanyang gitara sa ika-pito ng Disyembre.
He will sell his guitar on December 8.	Ibebenta niya ang kanyang gitara sa ika-siyam ng Disyembre.
He will sell his guitar on November 1.	Ibebenta niya ang kanyang gitara sa ika-isa ng Nobyembre.
He will sell his guitar on November 3.	Ibebenta niya ang kanyang gitara sa ika-tatlo ng Nobyembre.
He will sell his guitar on November 4.	Ibebenta niya ang kanyang gitara sa ika-apat ng Nobyembre.
He will sell his guitar on November 5.	Ibebenta niya ang kanyang gitara sa ika-lima ng Nobyembre.
He will sell his guitar on November 6.	Ibebenta niya ang kanyang gitara sa ika-anim ng Nobyembre.
He will sell his guitar on November 7.	Ibebenta niya ang kanyang gitara sa ika-pito ng Nobyembre.
He will sell his guitar on November 8.	Ibebenta niya ang kanyang gitara sa ika-siyam ng Nobyembre.
He will sell his guitar on October 1.	Ibebenta niya ang kanyang gitara sa ika-isa ng Oktubre.
He will sell his guitar on October 10.	Ibebenta niya ang kanyang gitara sa ika-sampu ng Oktubre.
He will sell his guitar on October 2.	Ibebenta niya ang kanyang gitara sa ika-dalawa ng Oktubre.
He will sell his guitar on October 3.	Ibebenta niya ang kanyang gitara sa ika-tatlo ng Oktubre.
He will sell his guitar on October 4.	Ibebenta niya ang kanyang gitara sa ika-apat ng Oktubre.
He will sell his guitar on October 5.	Ibebenta niya ang kanyang gitara sa ika-lima ng Oktubre.
He will sell his guitar on October 6.	Ibebenta niya ang kanyang gitara sa ika-anim ng Oktubre.
He will sell his guitar on October 7.	Ibebenta niya ang kanyang gitara sa ika-pito ng Oktubre.
He will sell his guitar on October 8.	Ibebenta niya ang kanyang gitara sa ika-siyam ng Oktubre.
He will sell his guitar on September 1.	Ibebenta niya ang kanyang gitara sa ika-isa ng Septyembre.
He will study medicine in the United States.	Mag-aaral siya ng medisina sa Estados Unidos.
He will travel abroad next year.	Siya ay maglalakbay papunta sa ibang bansa sa sunod na taon.
He will write a book until December 1.	Magsusulat siya ng libro hanggang sa ika-isa ng Disyembre.
He will write a book until December 4.	Magsusulat siya ng libro hanggang sa ika-apat ng Disyembre.
He will write a book until December 5.	Magsusulat siya ng libro hanggang sa ika-lima ng Disyembre.
He will write a book until December 6.	Magsusulat siya ng libro hanggang sa ika-anim ng Disyembre.
He will write a book until December 7.	Magsusulat siya ng libro hanggang sa ika-pito ng Disyembre.
He will write a book until November 1.	Magsusulat siya ng libro hanggang sa ika-isa ng Nobyembre.
He will write a book until November 4.	Magsusulat siya ng libro hanggang sa ika-apat ng Nobyembre.
He will write a book until November 5.	Magsusulat siya ng libro hanggang sa ika-lima ng Nobyembre.
He will write a book until November 6.	Magsusulat siya ng libro hanggang sa ika-anim ng Nobyembre.
He will write a book until November 7.	Magsusulat siya ng libro hanggang sa ika-pito ng Nobyembre.
He will write a book until October 1.	Magsusulat siya ng libro hanggang sa ika-isa ng Oktubre.
He will write a book until October 10.	Magsusulat siya ng libro hanggang sa ika-sampu ng Oktubre.
He will write a book until October 2.	Magsusulat siya ng libro hanggang sa ika-dalawa ng Oktubre.
He will write a book until October 3.	Magsusulat siya ng libro hanggang sa ika-tatlo ng Oktubre.
He will write a book until October 4.	Magsusulat siya ng libro hanggang sa ika-apat ng Oktubre.
He will write a book until October 5.	Magsusulat siya ng libro hanggang sa ika-lima ng Oktubre.
He will write a book until October 6.	Magsusulat siya ng libro hanggang sa ika-anim ng Oktubre.
He will write a book until October 7.	Magsusulat siya ng libro hanggang sa ika-pito ng Oktubre.
He will write a book until October 8.	Magsusulat siya ng libro hanggang sa ika-siyam ng Oktubre.
He wiped his hands on a handkerchief.	Ipinunas niya ang mga kamay niya sa panyo.
He wore a pirate costume for Halloween.	Nagsuot siya ng costume ng pirata para sa Halloween.
He worked on Japan for thirty years.	Tatlumpung taon siyang nagtrabaho sa Japan.
He works as hard as any other student.	Kasing-sipag niya ang ibang estudyante.
He works as hard as any other student.	Masipag siya mag-aral tulad ng ibang estudyante.
He would soon find that they were futile.	malalaman niya rin na wala silang kwenta.
He would wait for hours for her call.	Naghintay siya ng ilang oras sa tawag niya.
He wouldn't allow me to drive his car.	Hindi niya ako pinayagan manehohin ang kanyang kotse.
He writes to his parents once a month.	Dadating siya nang alas otso nang pinakahuli.
He wrote down her name in the notebook.	Nilagay niya ang panglan niya sa kuwaderno.
He wrote that after Juliet died.	sinulat niya iyan pagkatapos mamatay ni Juliet.
He/She said is you want me to leave.	Ang sabi niya, gusto mo raw akong paalisin.
He/she was calm when he/she entered class.	Kalmado siya nang pumasok siya sa klase.
Heads the name of blasphemy.	at sa kaniyang mga ulo ay mga pangalan ng kapusungan.
Health can be the cure from disease.	Ang kalusugan ay maaring ang pagkawala ng sakit.
Health can have a negative meaning.	Ang kalusugan ay maaaring maging negatibo ang kahulugan.
Health sciences have two parts.	Mayroon dalawang bahagi ang agham pangkalusugan.
He'd bathe wherever he found water.	Naliligo siya kung saan siya makakita ng tubig.
Helen Keller was blind, deaf and dumb.	Si Hellen Keller ay bulag, bingi at bobo.
Helen Keller was blind, deaf and mute.	Si Hellen Keller ay bulag, bingi at bingi.
He'll get butchered by med students.	Lalapain na siya ng mga magdodoktor doon.
Hence, you will receive a penalty.	Samakatuwid, makakatanggap ka ng multa.
Her body will get stronger if she eats grape.	Lalakas ang katawan niya kapag kumain siya ng ubas.
Her body will get stronger if she eats milk.	Lalakas ang katawan niya kapag kumain siya ng gatas.
Her body will get stronger if she eats pomelo.	Lalakas ang katawan niya kapag kumain siya ng suha.
Her bones got stronger by drinking milk.	Tumibay ang buto niya dahil sa pag-inom ng gatas.
Her books were very evocative.	Ang kanyang mga libro ay nakakapukaw ng emosyon.
Her car broke down in the middle of the road.	Nasira ang kanyang sasakyan sa gitna ng daan.
Her dog went to the office to buy drugs.	Pumunta sa opisina ang aso para bumili ng droga.
Her dream is to travel around the world.	Ang pangarap niya ay maglakbay sa buong mundo.
Her face betrayed her real feelings.	Hindi naitago ng mukha niya ang tunay niyang nararamdaman.
Her fianc gave her a very big ring.	Binigyan siya ng fianc niya ng napakalaking singsing.
Her gift to Missus Montes is beautiful.	Ang ganda ng regalo niya kay Gng. Montes.
Her head is not attached to her body.	Ang kanyang ulo ay hindi nakadikit sa kanyang katawan.
Her mother had high hopes for her.	Mataas ang ambisyon ng kanyang ina para sa kanya.
Her mother is not aware of her illness.	Hindi alam ng nanay niya na siya ay may sakit.
Her name is known all over the world.	Kilala ang pangalan niya sa buong mundo.
Her name was embossed on a large plaque.	Ang pangalan niya ay nakaukit sa isang malaking plaka.
Her new novel will come out next month.	Ang kanyang nobela ay lalabas sa sunod na buwan.
Her new novel will come out next month.	Lalabas ang bago niyang nobela sa susunod na buwan.
Her soul is also probably the soul of a pig.	Pati siguro ang kaluluwa nun ay kaluluwang baboy.
Her stern look got him to quit talking.	Ang kanyang masamang tingin ang nagpatahimik sa kanya.
Her untimely figs.	ang kaniyang mga bungang bubot pagka hinahampas ng malakas na hangin.
Her voice could hardly be heard over the noise.	Halos hindi marinig ang boses niya sa ingay.
Here are my pencil and eraser, take them.	Ito ang lapis at pambura ko, kunin mo.
Here are some photos of my previous post.	Narito ang mga litrato ng aking naunang post.
Here I am, working on a Friday night.	Narito ako, nagtatrabaho sa Biyernes ng gabi.
Here is a self-proclaimed professor.	Nandito ang isang nagsasabing magaling na professor.
Here is frequently where good memories are made.	Dito ay madalas rin gumawa ng masasayang ala-ala.
Here we go again, when will you learn?	Heto na naman tayo, kalian ka ba matututo?
Here you will many different types of fish.	Dito marami kang makikitang ibat ibang klase na isda.
Here, we were the only car for miles.	Dito, kami lamang ang kotse sa ilang milya.
Here's a medium. What do you think?	Narito ang isang daluyan. Ano sa tingin mo?
He's always anxious to pick up gossip.	Palagi siyang excited kumalap ng tsimis.
He's an Englishman, but lives in India.	Siya ay Ingles, pero nakatira sa India.
He's been absent twice during the past week.	Dalawang beses siyang lumiban noong nakaraang linggo.
He's been friendly with my kid brother.	Siya ay naging mabait sa aking batang kapatid.
He's been playing the guitar for about an hour.	Siya ay naglalaro na ng gitara ng mga isang oras.
He's been waiting here for a long time.	Hinintay niya ako nang matagal na panahon.
He's better than us, dude, since he's studying.	Daig tayo niyan, pare, nag-aaral yan eh.
He's flying to Rome next Tuesday.	Lilipad siya papuntang Rome sa susunod na Martes.
He's friendly with all his classmates.	Mabait siya sa lahat ng kanyang kaklase.
He's getting his first job today.	Makakakuha siya ng kanyang unang trabaho ngayon.
He's hurricane that gave me bliss.	Siya ay bagyo na nagbigay sa akin ng matinding kaligayahan.
He's in charge of the sales department.	Siya ang namumuno sa sales department.
He's lucky because he doesn't have a family.	Maswerte pa siya dahil wala siyang pamilya.
He's not a human, he's materialisitic.	Hindi sya tao, isa siyang materyoso.
He's rich, but he lives like a beggar.	Mayaman siya, pero mukha siyang mahirap.
He's rich, but he lives like a beggar.	Marami siyang pera, pero mukha siyang nanlilimos.
He's studying to become lawyer one day.	Siya ay nag-aaral upang maging isang abogado balang araw.
He's the sole cause for global warming.	Siya lang ang nag-iisang dahilan ng global warming.
He's trying too much to entertain everybody.	Masyado niyang pinipilit na aliwin ang lahat.
He's watching me with a seemingly angry face.	Binabantayan niya ako nang mukhang galit na mukha.
Hey, Tom, are you really dating Mary?	Uy, Tom, talaga bang nagdadate kayo ni Mary?
Hey, what're you doing tomorrow night?	Uy, anong gagawin mo bukas nang gabi?
Hills are smaller than mountains.	Mas maliit ang mga burol kaysa sa mga bundo.
Hindi mo alam kung gaano ka kaimportante.	You don't know how important you are.
His accomplishment was way overblown.	Ang kanyang nagawa ay masyadong ipinagmalaki.
His advice would be very useful to you.	Ang kanyang payo ay magiging kapaki-pakinabang sa'yo.
His anger towards me has not softened.	Ang galit niya sa akin ay hindi lumambot.
His body will get stronger if he eats grape.	Lalakas ang katawan niya kapag kumain siya ng ubas.
His body will get stronger if he eats mango.	Lalakas ang katawan niya kapag kumain siya ng mangga.
His body will get stronger if he eats milk.	Lalakas ang katawan niya kapag kumain siya ng gatas.
His body will get stronger if he eats pomelo.	Lalakas ang katawan niya kapag kumain siya ng suha.
His bodyguard pointed a gun at my head.	Itinutok ng kanyang bantay ang baril sa aking ulo.
His bones got stronger by drinking milk.	Tumibay ang buto niya dahil sa pag-inom ng gatas.
His boss likes to work overtime.	Gusto ng kanyang amo na magtrabaho nang overtime.
His brother is more patient than he is.	Mas matiyaga ang kanyang kuya kaysa sa kanya.
His chances of being elected are good.	Ang chansa na siya ay mahalal ay maganda.
His day had already been disrupted enough.	masyado nang nagulo ang kanyang araw.
His descent took 13 minutes and 45 seconds.	Kinuha niya ang 13 minuto at 45 segundo.
His essay was concise and to the point.	Ang kanyang sanysay ay maiksi at eksakto.
His father died after his return home.	Namatay ang kanyang tatay pagkatapos niyang umuwi.
His handkerchief fell out of the window.	Nahulog ang panyo niya palabas ng bintana.
His handkerchief flew out of the window.	Lumipad ang panyo niya palabas ng bintana.
His house is near the subway station.	Malapit sa subway station ang bahay niya.
His house is on the south side of the river.	Ang bahay niya'y nasa timugang tabi ng ilog.
His illness comes of drinking too much.	Ang kanyang sakit ay dahil sa pag-inom masyado.
His illness comes of drinking too much.	Ang kanyang sakit ay dahil sa masyadong pag-inom.
His life spanned nearly a century.	Halos isang siglo ang itinagal ng kanyang buhay.
His life was a long series of failures.	Ang kanyang buhay ay sunod-sunod na mga kabiguan.
His love is slowly fading.	Ang kaniyang pagmamahal ay unti-unti nang kumukupas.
His method of answering is not effective.	Hindi mabisa ang kanyang paraan sa pagsasagot.
His method of studying is not effective.	Hindi mabisa ang kanyang paraan sa pag-aaral.
His method of teaching is not effective.	Hindi mabisa ang kanyang paraan sa pagtuturo.
His misconduct will not be tolerated.	Ang kanyang maling ginawa ay hindi papalampasin.
His new novel will come out next month.	Lalabas na sa isang buwan ang kanyang bagong nobela.
His one hundred percent strength is not enough.	Kulang ang kaniyang isandaang porsyentong lakas.
His opinions aren't worth listening to.	Ang kanyang opinyon ay walang kuwenta.
His opinions were given little credit.	Ang kanyang mga opinyon ay binigyan ng kaunting pagkilala.
His parents approve of the engagement.	Pumayag ang kanyang mga magulang sa kanyang kasunduan.
His parents want him to go to college.	Gusto ng mga magulang niya na mag kolehiyo siya.
His poems are difficult to understand.	Ang mga tula niya ay mahirap intindihin.
His poetry does not translate into Japanese.	Hindi masalin ang tula niya sa Hapon.
